qid,model_name,task_type,sub-task type,score
12_0,gpt-image-2,object-centric,generative counting,0
12_1,gpt-image-2,object-centric,spatial reasoning,1
12_2,gpt-image-2,object-centric,attribute binding,1
20_0,gpt-image-2,object-centric,attribute binding,0
20_1,gpt-image-2,abstract reasoning,geometric and graph reasoning,0
45_0,gpt-image-2,object-centric,generative counting,1
45_1,gpt-image-2,object-centric,spatial reasoning,0
61_0,gpt-image-2,object-centric,generative counting,1
61_1,gpt-image-2,object-centric,attribute binding,1
72_0,gpt-image-2,object-centric,generative counting,1
72_1,gpt-image-2,object-centric,attribute binding,1
72_2,gpt-image-2,object-centric,spatial reasoning,1
147_0,gpt-image-2,object-centric,spatial reasoning,0
147_1,gpt-image-2,object-centric,attribute binding,1
148_0,gpt-image-2,object-centric,spatial reasoning,1
148_1,gpt-image-2,object-centric,attribute binding,1
191_0,gpt-image-2,object-centric,generative counting,0
191_1,gpt-image-2,object-centric,attribute binding,1
192_0,gpt-image-2,object-centric,generative counting,1
192_1,gpt-image-2,object-centric,spatial reasoning,1
210_0,gpt-image-2,object-centric,generative counting,1
210_1,gpt-image-2,object-centric,spatial reasoning,0
240_0,gpt-image-2,object-centric,attribute binding,1
240_1,gpt-image-2,object-centric,spatial reasoning,1
261_0,gpt-image-2,object-centric,attribute binding,1
261_1,gpt-image-2,object-centric,generative counting,1
12_0,gemini-3-pro-image-preview,object-centric,generative counting,1
12_1,gemini-3-pro-image-preview,object-centric,spatial reasoning,1
12_2,gemini-3-pro-image-preview,object-centric,attribute binding,1
20_0,gemini-3-pro-image-preview,object-centric,attribute binding,0
20_1,gemini-3-pro-image-preview,abstract reasoning,geometric and graph reasoning,1
45_0,gemini-3-pro-image-preview,object-centric,generative counting,1
45_1,gemini-3-pro-image-preview,object-centric,spatial reasoning,0
61_0,gemini-3-pro-image-preview,object-centric,generative counting,1
61_1,gemini-3-pro-image-preview,object-centric,attribute binding,1
72_0,gemini-3-pro-image-preview,object-centric,generative counting,1
72_1,gemini-3-pro-image-preview,object-centric,attribute binding,1
72_2,gemini-3-pro-image-preview,object-centric,spatial reasoning,1
147_0,gemini-3-pro-image-preview,object-centric,spatial reasoning,0
147_1,gemini-3-pro-image-preview,object-centric,attribute binding,1
148_0,gemini-3-pro-image-preview,object-centric,spatial reasoning,1
148_1,gemini-3-pro-image-preview,object-centric,attribute binding,1
191_0,gemini-3-pro-image-preview,object-centric,generative counting,0
191_1,gemini-3-pro-image-preview,object-centric,attribute binding,1
192_0,gemini-3-pro-image-preview,object-centric,generative counting,0
192_1,gemini-3-pro-image-preview,object-centric,spatial reasoning,1
210_0,gemini-3-pro-image-preview,object-centric,generative counting,1
210_1,gemini-3-pro-image-preview,object-centric,spatial reasoning,0
240_0,gemini-3-pro-image-preview,object-centric,attribute binding,1
240_1,gemini-3-pro-image-preview,object-centric,spatial reasoning,1
261_0,gemini-3-pro-image-preview,object-centric,attribute binding,1
261_1,gemini-3-pro-image-preview,object-centric,generative counting,0
12_0,gpt-image-1-mini,object-centric,generative counting,0
12_1,gpt-image-1-mini,object-centric,spatial reasoning,0
12_2,gpt-image-1-mini,object-centric,attribute binding,0
20_0,gpt-image-1-mini,object-centric,attribute binding,0
20_1,gpt-image-1-mini,abstract reasoning,geometric and graph reasoning,0
45_0,gpt-image-1-mini,object-centric,generative counting,1
45_1,gpt-image-1-mini,object-centric,spatial reasoning,0
61_0,gpt-image-1-mini,object-centric,generative counting,1
61_1,gpt-image-1-mini,object-centric,attribute binding,1
72_0,gpt-image-1-mini,object-centric,generative counting,0
72_1,gpt-image-1-mini,object-centric,attribute binding,0
72_2,gpt-image-1-mini,object-centric,spatial reasoning,0
147_0,gpt-image-1-mini,object-centric,spatial reasoning,0
147_1,gpt-image-1-mini,object-centric,attribute binding,1
148_0,gpt-image-1-mini,object-centric,spatial reasoning,1
148_1,gpt-image-1-mini,object-centric,attribute binding,1
191_0,gpt-image-1-mini,object-centric,generative counting,0
191_1,gpt-image-1-mini,object-centric,attribute binding,1
192_0,gpt-image-1-mini,object-centric,generative counting,0
192_1,gpt-image-1-mini,object-centric,spatial reasoning,1
210_0,gpt-image-1-mini,object-centric,generative counting,1
210_1,gpt-image-1-mini,object-centric,spatial reasoning,0
240_0,gpt-image-1-mini,object-centric,attribute binding,1
240_1,gpt-image-1-mini,object-centric,spatial reasoning,1
261_0,gpt-image-1-mini,object-centric,attribute binding,1
261_1,gpt-image-1-mini,object-centric,generative counting,0
12_0,gemini-3.1-flash-image-preview,object-centric,generative counting,0
12_1,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
12_2,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
20_0,gemini-3.1-flash-image-preview,object-centric,attribute binding,0
20_1,gemini-3.1-flash-image-preview,abstract reasoning,geometric and graph reasoning,1
45_0,gemini-3.1-flash-image-preview,object-centric,generative counting,1
45_1,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,0
61_0,gemini-3.1-flash-image-preview,object-centric,generative counting,0
61_1,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
72_0,gemini-3.1-flash-image-preview,object-centric,generative counting,1
72_1,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
72_2,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
147_0,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
147_1,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
148_0,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
148_1,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
191_0,gemini-3.1-flash-image-preview,object-centric,generative counting,0
191_1,gemini-3.1-flash-image-preview,object-centric,attribute binding,0
192_0,gemini-3.1-flash-image-preview,object-centric,generative counting,1
192_1,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
210_0,gemini-3.1-flash-image-preview,object-centric,generative counting,1
210_1,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
240_0,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
240_1,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
261_0,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
261_1,gemini-3.1-flash-image-preview,object-centric,generative counting,1
12_0,gemini-2.5-flash-image,object-centric,generative counting,0
12_1,gemini-2.5-flash-image,object-centric,spatial reasoning,1
12_2,gemini-2.5-flash-image,object-centric,attribute binding,1
20_0,gemini-2.5-flash-image,object-centric,attribute binding,0
20_1,gemini-2.5-flash-image,abstract reasoning,geometric and graph reasoning,0
45_0,gemini-2.5-flash-image,object-centric,generative counting,1
45_1,gemini-2.5-flash-image,object-centric,spatial reasoning,1
61_0,gemini-2.5-flash-image,object-centric,generative counting,1
61_1,gemini-2.5-flash-image,object-centric,attribute binding,1
72_0,gemini-2.5-flash-image,object-centric,generative counting,1
72_1,gemini-2.5-flash-image,object-centric,attribute binding,1
72_2,gemini-2.5-flash-image,object-centric,spatial reasoning,1
147_0,gemini-2.5-flash-image,object-centric,spatial reasoning,1
147_1,gemini-2.5-flash-image,object-centric,attribute binding,1
148_0,gemini-2.5-flash-image,object-centric,spatial reasoning,0
148_1,gemini-2.5-flash-image,object-centric,attribute binding,1
191_0,gemini-2.5-flash-image,object-centric,generative counting,0
191_1,gemini-2.5-flash-image,object-centric,attribute binding,0
192_0,gemini-2.5-flash-image,object-centric,generative counting,0
192_1,gemini-2.5-flash-image,object-centric,spatial reasoning,1
210_0,gemini-2.5-flash-image,object-centric,generative counting,0
210_1,gemini-2.5-flash-image,object-centric,spatial reasoning,0
240_0,gemini-2.5-flash-image,object-centric,attribute binding,1
240_1,gemini-2.5-flash-image,object-centric,spatial reasoning,1
261_0,gemini-2.5-flash-image,object-centric,attribute binding,1
261_1,gemini-2.5-flash-image,object-centric,generative counting,0
12_0,gpt-image-1.5,object-centric,generative counting,1
12_1,gpt-image-1.5,object-centric,spatial reasoning,1
12_2,gpt-image-1.5,object-centric,attribute binding,1
20_0,gpt-image-1.5,object-centric,attribute binding,0
20_1,gpt-image-1.5,abstract reasoning,geometric and graph reasoning,0
45_0,gpt-image-1.5,object-centric,generative counting,1
45_1,gpt-image-1.5,object-centric,spatial reasoning,0
61_0,gpt-image-1.5,object-centric,generative counting,1
61_1,gpt-image-1.5,object-centric,attribute binding,1
72_0,gpt-image-1.5,object-centric,generative counting,1
72_1,gpt-image-1.5,object-centric,attribute binding,1
72_2,gpt-image-1.5,object-centric,spatial reasoning,1
147_0,gpt-image-1.5,object-centric,spatial reasoning,1
147_1,gpt-image-1.5,object-centric,attribute binding,1
148_0,gpt-image-1.5,object-centric,spatial reasoning,0
148_1,gpt-image-1.5,object-centric,attribute binding,1
191_0,gpt-image-1.5,object-centric,generative counting,0
191_1,gpt-image-1.5,object-centric,attribute binding,1
192_0,gpt-image-1.5,object-centric,generative counting,0
192_1,gpt-image-1.5,object-centric,spatial reasoning,1
210_0,gpt-image-1.5,object-centric,generative counting,1
210_1,gpt-image-1.5,object-centric,spatial reasoning,1
240_0,gpt-image-1.5,object-centric,attribute binding,1
240_1,gpt-image-1.5,object-centric,spatial reasoning,1
261_0,gpt-image-1.5,object-centric,attribute binding,1
261_1,gpt-image-1.5,object-centric,generative counting,0
48_0,gpt-image-2,object-centric,attribute binding,1
48_1,gpt-image-2,object-centric,spatial reasoning,1
48_2,gpt-image-2,abstract reasoning,constraint reasoning,0
106_0,gpt-image-2,object-centric,generative counting,1
106_1,gpt-image-2,object-centric,spatial reasoning,1
106_2,gpt-image-2,object-centric,attribute binding,1
48_0,gemini-3-pro-image-preview,object-centric,attribute binding,1
48_1,gemini-3-pro-image-preview,object-centric,spatial reasoning,1
48_2,gemini-3-pro-image-preview,abstract reasoning,constraint reasoning,1
106_0,gemini-3-pro-image-preview,object-centric,generative counting,1
106_1,gemini-3-pro-image-preview,object-centric,spatial reasoning,1
106_2,gemini-3-pro-image-preview,object-centric,attribute binding,1
48_0,gpt-image-1-mini,object-centric,attribute binding,1
48_1,gpt-image-1-mini,object-centric,spatial reasoning,1
48_2,gpt-image-1-mini,abstract reasoning,constraint reasoning,0
106_0,gpt-image-1-mini,object-centric,generative counting,0
106_1,gpt-image-1-mini,object-centric,spatial reasoning,1
106_2,gpt-image-1-mini,object-centric,attribute binding,1
48_0,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
48_1,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
48_2,gemini-3.1-flash-image-preview,abstract reasoning,constraint reasoning,0
106_0,gemini-3.1-flash-image-preview,object-centric,generative counting,1
106_1,gemini-3.1-flash-image-preview,object-centric,spatial reasoning,1
106_2,gemini-3.1-flash-image-preview,object-centric,attribute binding,1
48_0,gemini-2.5-flash-image,object-centric,attribute binding,1
48_1,gemini-2.5-flash-image,object-centric,spatial reasoning,1
48_2,gemini-2.5-flash-image,abstract reasoning,constraint reasoning,0
106_0,gemini-2.5-flash-image,object-centric,generative counting,1
106_1,gemini-2.5-flash-image,object-centric,spatial reasoning,1
106_2,gemini-2.5-flash-image,object-centric,attribute binding,1
48_0,gpt-image-1.5,object-centric,attribute binding,1
48_1,gpt-image-1.5,object-centric,spatial reasoning,1
48_2,gpt-image-1.5,abstract reasoning,constraint reasoning,0
106_0,gpt-image-1.5,object-centric,generative counting,1
106_1,gpt-image-1.5,object-centric,spatial reasoning,1
106_2,gpt-image-1.5,object-centric,attribute binding,1
